Zeit;Wert 1-avg[W]
2023-01-07 15:02:31.540076; 31.257492
2023-01-07 15:02:32.555928; 31.080896
2023-01-07 15:02:33.563430; 31.17324
2023-01-07 15:02:34.571071; 32.25852
2023-01-07 15:02:35.584646; 31.603544
2023-01-07 15:02:36.602818; 31.56118
2023-01-07 15:02:37.619401; 31.299618
2023-01-07 15:02:38.621497; 31.257492
2023-01-07 15:02:39.634208; 32.08716
2023-01-07 15:02:40.659301; 31.866296
2023-01-07 15:02:41.675132; 30.99712
2023-01-07 15:02:42.699543; 31.688272
2023-01-07 15:02:43.713338; 31.56118
2023-01-07 15:02:44.734419; 32.21568
2023-01-07 15:02:45.738225; 31.341744
2023-01-07 15:02:46.755427; 31.257492
2023-01-07 15:02:47.765725; 31.215366
2023-01-07 15:02:48.789291; 31.866296
2023-01-07 15:02:49.798984; 31.645908
2023-01-07 15:02:50.806909; 31.866296
2023-01-07 15:02:51.810088; 31.56118
2023-01-07 15:02:52.834355; 31.603544
2023-01-07 15:02:53.855511; 31.645908
2023-01-07 15:02:54.875768; 31.994102
2023-01-07 15:02:55.890579; 31.039008
2023-01-07 15:02:56.915380; 31.341744
2023-01-07 15:02:57.924629; 31.039008
2023-01-07 15:02:58.933810; 31.866296
2023-01-07 15:02:59.937796; 32.30136
2023-01-07 15:03:00.946190; 31.688272
2023-01-07 15:03:01.951166; 31.299618
2023-01-07 15:03:02.952563; 31.425996
2023-01-07 15:03:03.961668; 31.299618
2023-01-07 15:03:04.966805; 31.645908
2023-01-07 15:03:05.990865; 30.99712
2023-01-07 15:03:06.997919; 31.730636
2023-01-07 15:03:08.012422; 31.645908
2023-01-07 15:03:09.016953; 31.908898
